Benchmark                                                       Time             CPU   Iterations
BM_AVL_SequentialInsertAscending/8/threads:8                 93.3 ns          749 ns         9224
BM_AVL_SequentialInsertAscending/64/threads:8                1117 ns         8935 ns          832
BM_AVL_SequentialInsertAscending/512/threads:8              11862 ns        94894 ns           72
BM_AVL_SequentialInsertAscending/4096/threads:8            119750 ns       957960 ns            8
BM_AVL_SequentialInsertAscending/8192/threads:8            275869 ns      2206291 ns            8
BM_Scapegoat_SequentialInsertAscending/8/threads:8            811 ns         6497 ns         1056
BM_Scapegoat_SequentialInsertAscending/64/threads:8         27411 ns       217728 ns           32
BM_Scapegoat_SequentialInsertAscending/512/threads:8      1108611 ns      8862747 ns            8
BM_Scapegoat_SequentialInsertAscending/4096/threads:8    33779679 ns    270218882 ns            8
BM_Scapegoat_SequentialInsertAscending/8192/threads:8   120250608 ns    961988230 ns            8
BM_AVL_SequentialInsertDescending/8/threads:8                78.1 ns          627 ns        10280
BM_AVL_SequentialInsertDescending/64/threads:8                901 ns         7202 ns         1064
BM_AVL_SequentialInsertDescending/512/threads:8             10415 ns        77202 ns           80
BM_AVL_SequentialInsertDescending/4096/threads:8            83114 ns       660450 ns            8
BM_AVL_SequentialInsertDescending/8192/threads:8           188726 ns      1509774 ns            8
BM_Scapegoat_SequentialInsertDescending/8/threads:8           453 ns         3622 ns         1864
BM_Scapegoat_SequentialInsertDescending/64/threads:8        17535 ns       140037 ns           48
BM_Scapegoat_SequentialInsertDescending/512/threads:8      788403 ns      6304238 ns            8
BM_Scapegoat_SequentialInsertDescending/4096/threads:8   31271606 ns    250167218 ns            8
BM_Scapegoat_SequentialInsertDescending/8192/threads:8  120111873 ns    960870385 ns            8
BM_AVL_RandomInsert/8/threads:8                              83.1 ns          665 ns         9192
BM_AVL_RandomInsert/64/threads:8                              905 ns         7239 ns          848
BM_AVL_RandomInsert/512/threads:8                           10274 ns        82184 ns           88
BM_AVL_RandomInsert/4096/threads:8                         116344 ns       930702 ns            8
BM_AVL_RandomInsert/8192/threads:8                         287057 ns      2296531 ns            8
BM_Scapegoat_RandomInsert/8/threads:8                         747 ns         5974 ns         1136
BM_Scapegoat_RandomInsert/64/threads:8                      21025 ns       166837 ns           40
BM_Scapegoat_RandomInsert/512/threads:8                    664437 ns      5308522 ns            8
BM_Scapegoat_RandomInsert/4096/threads:8                 32094633 ns    256745738 ns            8
BM_Scapegoat_RandomInsert/8192/threads:8                122117982 ns    976924232 ns            8
BM_AVL_MixedPatternInsert/8/threads:8                        91.9 ns          736 ns         7248
BM_AVL_MixedPatternInsert/64/threads:8                        777 ns         6219 ns          960
BM_AVL_MixedPatternInsert/512/threads:8                      9272 ns        74173 ns           88
BM_AVL_MixedPatternInsert/4096/threads:8                    93719 ns       749705 ns            8
BM_AVL_MixedPatternInsert/8192/threads:8                   234202 ns      1809160 ns            8
BM_Scapegoat_MixedPatternInsert/8/threads:8                   915 ns         6441 ns         1064
BM_Scapegoat_MixedPatternInsert/64/threads:8                21239 ns       169554 ns           40
BM_Scapegoat_MixedPatternInsert/512/threads:8              675176 ns      5397591 ns            8
BM_Scapegoat_MixedPatternInsert/4096/threads:8           31905687 ns    255223722 ns            8
BM_Scapegoat_MixedPatternInsert/8192/threads:8          120530587 ns    964228214 ns            8
BM_AVL_RandomDeletion/8/threads:8                            65.8 ns          525 ns        11856
BM_AVL_RandomDeletion/64/threads:8                            902 ns         7199 ns         1056
BM_AVL_RandomDeletion/512/threads:8                         10138 ns        80949 ns           72
BM_AVL_RandomDeletion/4096/threads:8                       109696 ns       877467 ns            8
BM_AVL_RandomDeletion/8192/threads:8                       217890 ns      1742427 ns            8
BM_Scapegoat_RandomDeletion/8/threads:8                       226 ns         1804 ns         5336
BM_Scapegoat_RandomDeletion/64/threads:8                     1125 ns         8985 ns          808
BM_Scapegoat_RandomDeletion/512/threads:8                    7349 ns        58760 ns          112
BM_Scapegoat_RandomDeletion/4096/threads:8                  62486 ns       499674 ns           16
BM_AVL_SequentialDeletion/8/threads:8                        59.8 ns          477 ns        13928
BM_AVL_SequentialDeletion/64/threads:8                        722 ns         5761 ns         1184
BM_AVL_SequentialDeletion/512/threads:8                      8590 ns        68706 ns          104
BM_AVL_SequentialDeletion/4096/threads:8                    78987 ns       631803 ns            8
BM_AVL_SequentialDeletion/8192/threads:8                   235307 ns      1882324 ns            8
BM_Scapegoat_SequentialDeletion/8/threads:8                   156 ns         1249 ns         5320
BM_Scapegoat_SequentialDeletion/64/threads:8                  948 ns         7564 ns          960
BM_Scapegoat_SequentialDeletion/512/threads:8                4739 ns        37894 ns          176
BM_Scapegoat_SequentialDeletion/4096/threads:8              34923 ns       279081 ns           24
BM_AVL_DeleteHeavyWorkload/8/threads:8                       73.8 ns          590 ns        12280
BM_AVL_DeleteHeavyWorkload/64/threads:8                       972 ns         7771 ns          872
BM_AVL_DeleteHeavyWorkload/512/threads:8                    10889 ns        86997 ns           80
BM_AVL_DeleteHeavyWorkload/4096/threads:8                  107091 ns       856631 ns            8
BM_AVL_DeleteHeavyWorkload/8192/threads:8                  229135 ns      1831950 ns            8
BM_Scapegoat_DeleteHeavyWorkload/8/threads:8                  202 ns         1613 ns         5560
BM_Scapegoat_DeleteHeavyWorkload/64/threads:8                3713 ns        29694 ns          224
BM_Scapegoat_DeleteHeavyWorkload/512/threads:8             129612 ns      1035664 ns            8
BM_Scapegoat_DeleteHeavyWorkload/4096/threads:8           4012086 ns     32095033 ns            8
BM_AVL_SuccessfulSearch/8/threads:8                          39.3 ns          288 ns        25184
BM_AVL_SuccessfulSearch/64/threads:8                          154 ns         1236 ns         5352
BM_AVL_SuccessfulSearch/512/threads:8                        1412 ns        11287 ns          696
BM_AVL_SuccessfulSearch/4096/threads:8                      14110 ns       112854 ns           72
BM_AVL_SuccessfulSearch/8192/threads:8                      27941 ns       223490 ns           32
BM_Scapegoat_SuccessfulSearch/8/threads:8                    41.0 ns          326 ns        26504
BM_Scapegoat_SuccessfulSearch/64/threads:8                    156 ns         1054 ns         6672
BM_Scapegoat_SuccessfulSearch/512/threads:8                  1065 ns         8502 ns          776
BM_Scapegoat_SuccessfulSearch/4096/threads:8                10315 ns        82257 ns           88
BM_Scapegoat_SuccessfulSearch/8192/threads:8                22339 ns       178114 ns           40
BM_AVL_UnsuccessfulSearch/8/threads:8                        29.9 ns          239 ns        26600
BM_AVL_UnsuccessfulSearch/64/threads:8                        153 ns         1222 ns         6896
BM_AVL_UnsuccessfulSearch/512/threads:8                      1138 ns         9097 ns          888
BM_AVL_UnsuccessfulSearch/4096/threads:8                     8109 ns        64811 ns           96
BM_AVL_UnsuccessfulSearch/8192/threads:8                    20187 ns       161087 ns           48
BM_Scapegoat_UnsuccessfulSearch/8/threads:8                  34.4 ns          271 ns        28040
BM_Scapegoat_UnsuccessfulSearch/64/threads:8                  113 ns          900 ns         6552
BM_Scapegoat_UnsuccessfulSearch/512/threads:8                 765 ns         6099 ns         1064
BM_Scapegoat_UnsuccessfulSearch/4096/threads:8               6580 ns        52348 ns          136
BM_Scapegoat_UnsuccessfulSearch/8192/threads:8              13478 ns       107307 ns           64
BM_AVL_SearchDistribution/8/threads:8                         516 ns         4125 ns         1784
BM_AVL_SearchDistribution/64/threads:8                       1000 ns         8002 ns          848
BM_AVL_SearchDistribution/512/threads:8                      2050 ns        16394 ns          488
BM_AVL_SearchDistribution/4096/threads:8                     4067 ns        32517 ns          232
BM_AVL_SearchDistribution/8192/threads:8                     5328 ns        42615 ns          136
BM_Scapegoat_SearchDistribution/8/threads:8                   515 ns         4114 ns         1568
BM_Scapegoat_SearchDistribution/64/threads:8                  969 ns         7748 ns          848
BM_Scapegoat_SearchDistribution/512/threads:8                1555 ns        12425 ns          528
BM_Scapegoat_SearchDistribution/4096/threads:8               3167 ns        25226 ns          280
BM_Scapegoat_SearchDistribution/8192/threads:8               4200 ns        33325 ns          208
BM_AVL_SmallRangeQuery/8/threads:8                           34.2 ns          272 ns        24056
BM_AVL_SmallRangeQuery/64/threads:8                           156 ns         1246 ns         6744
BM_AVL_SmallRangeQuery/512/threads:8                          876 ns         7007 ns          800
BM_AVL_SmallRangeQuery/4096/threads:8                        5880 ns        47007 ns          120
BM_AVL_SmallRangeQuery/8192/threads:8                       11687 ns        93485 ns           72
BM_Scapegoat_SmallRangeQuery/8/threads:8                     32.4 ns          254 ns        28280
BM_Scapegoat_SmallRangeQuery/64/threads:8                     109 ns          863 ns         7280
BM_Scapegoat_SmallRangeQuery/512/threads:8                    569 ns         4534 ns         1552
BM_Scapegoat_SmallRangeQuery/4096/threads:8                  4199 ns        33328 ns          208
BM_Scapegoat_SmallRangeQuery/8192/threads:8                  8167 ns        64880 ns          104
BM_AVL_LargeRangeQuery/8/threads:8                           67.4 ns          532 ns        14928
BM_AVL_LargeRangeQuery/64/threads:8                           192 ns         1540 ns         4400
BM_AVL_LargeRangeQuery/512/threads:8                         1222 ns         9768 ns          832
BM_AVL_LargeRangeQuery/4096/threads:8                        9340 ns        74656 ns          104
BM_AVL_LargeRangeQuery/8192/threads:8                       18827 ns       150557 ns           48
BM_Scapegoat_LargeRangeQuery/8/threads:8                     61.8 ns          490 ns        15968
BM_Scapegoat_LargeRangeQuery/64/threads:8                     158 ns         1254 ns         4616
BM_Scapegoat_LargeRangeQuery/512/threads:8                    801 ns         6390 ns         1064
BM_Scapegoat_LargeRangeQuery/4096/threads:8                  5966 ns        47427 ns          144
BM_Scapegoat_LargeRangeQuery/8192/threads:8                 11882 ns        94590 ns           72
BM_AVL_EmptyRangeQuery/8/threads:8                           42.8 ns          340 ns        24248
BM_AVL_EmptyRangeQuery/64/threads:8                           119 ns          953 ns         7744
BM_AVL_EmptyRangeQuery/512/threads:8                          739 ns         5264 ns         1336
BM_AVL_EmptyRangeQuery/4096/threads:8                        5705 ns        45627 ns          136
BM_AVL_EmptyRangeQuery/8192/threads:8                       12724 ns       101737 ns           56
BM_Scapegoat_EmptyRangeQuery/8/threads:8                     31.9 ns          251 ns        23872
BM_Scapegoat_EmptyRangeQuery/64/threads:8                    82.7 ns          658 ns         8792
BM_Scapegoat_EmptyRangeQuery/512/threads:8                    486 ns         3874 ns         1808
BM_Scapegoat_EmptyRangeQuery/4096/threads:8                  3810 ns        30135 ns          224
BM_Scapegoat_EmptyRangeQuery/8192/threads:8                  7561 ns        60057 ns          120
BM_AVL_DictionaryOperations/8/threads:8                      87.5 ns          619 ns        11136
